show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,TV Show,Title 1,Director 188,"Actor 301, Actor 466",Canada,"December 28, 2025",2009,PG-13,3 Seasons,"Drama, Crime",Description for title 1.
s2,TV Show,Title 2,Director 193,"Actor 389, Actor 194",India,"September 22, 2021",2023,TV-MA,8 Seasons,"Romance, Documentary",Description for title 2.
s3,Movie,Title 3,Director 163,"Actor 494, Actor 473",Japan,"June 19, 2025",2021,PG,136 min,"Romance, Action",Description for title 3.
s4,Movie,Title 4,Director 5,"Actor 110, Actor 398",United States,"January 8, 2016",2001,TV-MA,110 min,"Romance, Crime",Description for title 4.
s5,TV Show,Title 5,Director 111,"Actor 346, Actor 265",Japan,"December 18, 2015",2004,PG,7 Seasons,"Documentary, Action",Description for title 5.
s6,Movie,Title 6,Director 52,"Actor 265, Actor 112",Japan,"June 9, 2020",2016,TV-MA,145 min,"Action, Comedy",Description for title 6.
s7,Movie,Title 7,Director 61,"Actor 342, Actor 282",UK,"January 26, 2020",2024,PG-13,87 min,"Comedy, Crime",Description for title 7.
s8,Movie,Title 8,Director 35,"Actor 79, Actor 43",Canada,"December 19, 2025",2016,PG-13,175 min,"Action, Comedy",Description for title 8.
s9,Movie,Title 9,Director 40,"Actor 379, Actor 155",United States,"January 18, 2019",2000,TV-MA,178 min,"Crime, Sci-Fi",Description for title 9.
s10,TV Show,Title 10,Director 88,"Actor 461, Actor 489",United States,"June 28, 2020",2015,PG-13,6 Seasons,"Sci-Fi, Comedy",Description for title 10.
s11,TV Show,Title 11,Director 105,"Actor 470, Actor 369",India,"January 22, 2017",2014,TV-14,2 Seasons,"Drama, Comedy",Description for title 11.
s12,Movie,Title 12,Director 187,"Actor 61, Actor 322",UK,"September 15, 2020",2000,PG-13,153 min,"Sci-Fi, Drama",Description for title 12.
s13,Movie,Title 13,Director 188,"Actor 468, Actor 253",Spain,"December 14, 2025",2012,R,161 min,"Sci-Fi, Romance",Description for title 13.
s14,Movie,Title 14,Director 152,"Actor 417, Actor 458",United States,"March 19, 2015",2020,TV-MA,118 min,"Comedy, Drama",Description for title 14.
s15,Movie,Title 15,Director 109,"Actor 183, Actor 437",India,"September 28, 2024",2021,PG-13,88 min,"Crime, Sci-Fi",Description for title 15.
s16,TV Show,Title 16,Director 101,"Actor 414, Actor 90",United States,"June 23, 2018",2012,PG-13,7 Seasons,"Drama, Romance",Description for title 16.
s17,TV Show,Title 17,Director 24,"Actor 26, Actor 266",United States,"December 16, 2020",2008,PG-13,6 Seasons,"Crime, Comedy",Description for title 17.
